date,gdp_growth,gdp_lag1,indprod_g,retail_sales_g,pers_income_g,unemploy_claims_g,sentiment_ch,housing_g,cap_uti_g,ppi_g,cpi_g
1992-06-30,0.01678406848893843,0.015616903280992744,0.0179569785462963,0.01406054125654066,0.017589396147501546,0.044971606629326644,8.166666666666671,-0.09659580243693977,0.9262666666666632,0.010869672236903938,0.007662872745568983
1992-09-30,0.014696446266633245,0.01678406848893843,0.00784036971686497,0.017333907703113383,0.011141011918086363,-0.007332755129391799,-2.833333333333343,0.12040015308840424,0.08823333333333494,0.005956619512769379,0.007604599385219402
1992-12-31,0.017241546116848028,0.014696446266633245,0.010132635202445783,0.018678897758350743,0.014212192192525563,0.15390717827373201,7.1000000000000085,-0.01474486955814136,0.3184666666666658,-0.0002828454268613001,0.008721328113814764
1993-03-31,0.0072631058347507604,0.017241546116848028,0.009104479997105841,0.012263737763110072,0.0046908632391691185,0.04554660191807258,4.066666666666663,-0.0450306617138283,0.30809999999999604,0.004515954612414497,0.007248950250677844
1993-06-30,0.011729733256936825,0.0072631058347507604,0.0019943844229493024,0.023939261414211543,0.013438939791516447,-0.0051151006667709,-4.800000000000011,0.094199685520298,-0.2109000000000094,0.009529220090633395,0.0071967809170416785
1993-09-30,0.010693257980841864,0.011729733256936825,0.0037953354329101074,0.018337736161425866,0.007348941059605707,0.007570733109591998,-5.066666666666663,0.02296656112004758,-0.06969999999998322,-0.005313954610635108,0.004615747867190656
1993-12-31,0.018941541274186235,0.010693257980841864,0.015500787505456692,0.022534943270930086,0.014010645091044438,0.015542603679795874,6.633333333333354,0.12030261851967605,0.8059333333333285,0.00028038693580523244,0.008255034266576367
1994-03-31,0.014438231195274653,0.018941541274186235,0.012240369773185655,0.021899124443665485,0.008602712320472605,-0.0286437125705703,8.966666666666654,-0.10755109703764454,0.435600000000008,0.003917184639541382,0.0050114000096934674
1994-06-30,0.018270180819765613,0.014438231195274653,0.018097567850806406,0.018460033490510952,0.017805199134674154,0.0037573256712963854,-0.7999999999999972,-0.02366974408590483,0.8107333333333315,0.005569493650442681,0.00566445379990288
1994-09-30,0.01155178163363857,0.018270180819765613,0.01267297535562939,0.021262953634147763,0.011084503583152383,0.031263088078658186,-1.4666666666666686,-0.021690636008409037,0.28156666666666297,0.007745543564195323,0.00922080074112408
1994-12-31,0.01679961600345159,0.01155178163363857,0.020058113832125635,0.02180889464767688,0.018371667039485118,-0.04860519759889215,2.3999999999999915,0.014680091522191852,0.8686333333333351,0.0038503897954935695,0.00580358771804157
1995-03-31,0.008946753406947394,0.01679961600345159,0.010371828352912615,0.0015805785477756018,0.014870688217769157,0.1272400170620962,1.2000000000000028,-0.09979257254258211,0.048466666666669767,0.016335783905048196,0.007317917123322637
1995-06-30,0.00777317481148998,0.008946753406947394,0.0031174612983262406,0.016309113993262514,0.011135147455004102,-0.1491952682993034,-2.666666666666657,0.11475544521929404,-0.5812666666666644,0.012079062444700917,0.008141754733919093
1995-09-30,0.013377994475684218,0.00777317481148998,0.009626711413554645,0.01318688224827369,0.012384552043505082,-0.08074667365030308,1.5,0.05957573179544262,-0.09603333333333808,0.0021321969698400167,0.0050278824904479436
1995-12-31,0.01158161719142825,0.013377994475684218,0.00807229285488642,0.012241817482985695,0.011654648634960907,0.05510424303696482,-3.3666666666666742,-0.03560784444514997,-0.32150000000001455,0.002127660377117202,0.005436568788855567
1996-03-31,0.01226271831750303,0.01158161719142825,0.006812223263905182,0.01776779641455306,0.017914905196475317,-0.024191421618530384,0.7000000000000028,0.06320849252726202,-0.5195333333333281,0.006619910313330202,0.008852481431849135
1996-06-30,0.020665712524307267,0.01226271831750303,0.021299854041653354,0.019144709959938666,0.01945914168905105,0.08691931206537973,1.0,-0.000453823470461856,0.627900000000011,0.01206730278275625,0.008561696134811392
1996-09-30,0.012199950873633014,0.020665712524307267,0.012943201827159356,0.007451834520916023,0.011110032563074412,0.03324654811067518,3.3999999999999915,0.07138069773598943,-0.08190000000000452,0.002604168138387486,0.0057379819530209986
1996-12-31,0.015667263707962675,0.012199950873633014,0.013675000409275384,0.01729875467484554,0.013288740471256943,-0.016761434312627443,2.633333333333354,-0.03003228709887562,-0.04463333333332287,0.002078462686412763,0.008650755499078677
