date,gdp,gdp_yoy,orders,employment,consumer_sentiment,unemploy_claims,bus_outlook,auto_sales,construction,itrade,wtrade
1965-03-31,717.8,5.5,,210563.0,,,,,,,
1965-06-30,730.2,5.7,,212692.0,,,,,,,
1965-09-30,749.3,6.4,,214108.0,,,,,,,
1965-12-31,771.9,8.5,,215481.0,,,,,,,
1966-03-31,795.7,8.5,,216520.0,,,,,,,
1966-06-30,805.0,7.5,,217782.0,,,,,,,
1966-09-30,819.6,6.0,,219264.0,,,,,,,
1966-12-31,833.3,4.5,,220970.0,,,,,,,
1967-03-31,844.2,2.9,,220716.0,,2795000.0,,,,,
1967-06-30,849.0,2.6,,222004.0,,3186000.0,,,,,
1967-09-30,865.2,2.7,,224141.0,,3072000.0,,,,,
1967-12-31,881.4,2.7,,225649.0,,2748000.0,,,,,
1968-03-31,909.4,3.8,,225308.0,,2682000.0,,,,,
1968-06-30,934.3,5.5,,227850.0,,2560000.0,25.3,,,,
1968-09-30,950.8,5.3,,228302.0,,2546000.0,12.966666666666667,,,,
1968-12-31,968.0,5.0,,229496.0,,2459000.0,14.5,,,,
1969-03-31,993.3,4.5,,231499.0,,2495000.0,11.1,,,,
1969-06-30,1009.0,3.1,,232815.0,,2410000.0,16.433333333333334,,,,
1969-09-30,1030.0,2.9,,234459.0,,2606000.0,1.7666666666666668,,,,
1969-12-31,1038.1,2.0,,235726.0,,2701000.0,0.26666666666666633,,,,
1970-03-31,1051.2,0.3,,236341.0,,3342000.0,-20.8,,,,
1970-06-30,1067.4,0.2,,235907.0,,4039000.0,-15.6,,,,
1970-09-30,1086.1,0.4,,235848.0,,3847000.0,9.299999999999999,,,,
1970-12-31,1088.6,-0.2,,235929.0,,4193000.0,6.766666666666667,,,,
1971-03-31,1135.2,2.7,,236152.0,,3805000.0,33.73333333333333,,,,
1971-06-30,1156.3,3.1,,236883.0,,3797000.0,35.96666666666667,,,,
1971-09-30,1177.7,3.0,,238533.0,,4048000.0,28.066666666666666,,,,
1971-12-31,1190.3,4.4,,240686.0,,3728000.0,33.93333333333333,,,,
1972-03-31,1230.6,3.5,,243640.0,,3461000.0,34.86666666666667,,,,
1972-06-30,1266.4,5.2,,245625.0,,3479000.0,32.699999999999996,,,,
1972-09-30,1290.6,5.4,,247351.0,,3783000.0,33.733333333333334,,,,
1972-12-31,1328.9,6.9,,249006.0,,3219000.0,45.166666666666664,,,,
1973-03-31,1377.5,7.6,,251525.0,,2938000.0,48.93333333333334,,,,
1973-06-30,1413.9,6.3,,254392.0,,3111000.0,40.199999999999996,,,,
1973-09-30,1433.8,4.8,,255991.0,,3238000.0,14.333333333333334,,,,
1973-12-31,1476.3,4.0,,258708.0,,3401000.0,11.066666666666668,,,,
1974-03-31,1491.2,0.6,,260128.0,,4053000.0,-12.866666666666667,,,,
1974-06-30,1530.1,-0.2,,260501.0,,3890000.0,-9.933333333333332,,,,
1974-09-30,1560.0,-0.6,,261237.0,,4388000.0,-10.899999999999999,,,,
1974-12-31,1599.7,-1.9,,259765.0,,5971000.0,-38.6,,,,
1975-03-31,1616.1,-2.3,,256070.0,,7051000.0,-32.86666666666667,,,,
1975-06-30,1651.9,-1.8,,255995.0,,6577000.0,-17.6,,,,
1975-09-30,1709.8,0.8,,258407.0,,5809000.0,24.766666666666666,,,,
1975-12-31,1761.8,2.6,,259491.0,,5185000.0,37.53333333333333,,,,
1976-03-31,1820.5,6.2,,263057.0,,4691000.0,22.566666666666666,39.532,,,
1976-06-30,1852.3,6.2,,265773.0,,5014000.0,37.86666666666667,39.236000000000004,,,
1976-09-30,1886.6,5.0,,267489.0,,5138000.0,23.233333333333334,40.028999999999996,,,
1976-12-31,1934.3,4.3,,268711.0,,5098000.0,16.533333333333335,40.682,,,
1977-03-31,1988.6,3.2,,271078.0,,5253000.0,33.199999999999996,44.275,,,
1977-06-30,2055.9,4.5,,274984.0,,4803000.0,34.1,45.071,,,
