date,gdp_yoy,orders,employment,consumer_sentiment,unemploy_claims,bus_outlook,auto_sales,construction,itrade,wtrade
2021-12-31,5.8,-25.19999999999999,6238.0,-4.866666666666674,3235000.0,26.76666666666667,39.649,29859.0,-8252.0,81201.0
2022-03-31,4.0,-14.300000000000004,6815.0,-6.766666666666659,2926000.0,21.2,43.306,27734.0,-43016.0,127624.0
2022-06-30,2.5,-24.8,1444.0,-5.266666666666666,2760000.0,4.1000000000000005,41.727,41462.0,22862.0,64046.0
2022-09-30,2.3,-3.6000000000000014,1440.0,-1.7666666666666657,2748000.0,-3.8666666666666663,42.174,50692.0,41684.0,-28080.0
2022-12-31,1.3,-22.5,647.0,2.6999999999999957,2895000.0,-13.233333333333334,43.556,58028.0,-4956.0,-32380.0
2023-03-31,2.3,4.600000000000001,4974.0,5.800000000000011,2589000.0,-15.6,46.748000000000005,86528.0,11503.0,-10456.0
2023-06-30,2.8,-33.7,1325.0,-2.3000000000000114,2995000.0,-19.1,48.947,57481.0,-5498.0,-33566.0
2023-09-30,3.2,9.299999999999997,1351.0,7.266666666666666,3249000.0,-6.033333333333334,48.601,17859.0,19598.0,35659.0
2023-12-31,3.4,1.3000000000000007,121.0,-4.633333333333326,2750000.0,-10.133333333333333,47.841,59747.0,-10552.0,12168.0
2024-03-31,2.9,18.3,-593.0,13.5,2758000.0,0.9,48.045,16966.0,-6733.0,-15391.0
2024-06-30,3.1,15.5,186.0,-6.933333333333337,2907000.0,4.133333333333333,48.561,22055.0,-21684.0,6367.0
2024-09-30,2.8,-25.0,632.0,-3.36666666666666,3000000.0,3.466666666666667,48.605,5008.0,-9893.0,25598.0
2024-12-31,2.4,25.4,-146.0,3.9666666666666686,2931000.0,-3.1,50.866,-14933.0,-19599.0,21291.0
2025-03-31,2.0,-25.1,6410.0,-7.63333333333334,2874000.0,24.96666666666667,50.721,-13290.0,-134548.0,37919.0
2025-06-30,2.1,-24.099999999999998,-102.0,-9.43333333333333,3039000.0,-11.466666666666669,49.699,-11913.0,195105.0,24228.0
